ARIMA - Local Validation (168h ahead)
Zones evaluated: 15

Avg RMSE: 34.1906
Avg MAE : 33.9700
Avg R²  : -3750983712015361943535616.0000

Per-zone metrics:
1_x: RMSE=0.0722, MAE=0.0718, R²=0.0000
2_x: RMSE=4.4375, MAE=4.4096, R²=-1487856720108789239382016.0000
3_x: RMSE=7.6155, MAE=7.5684, R²=-68468978311458392637440.0000
4_x: RMSE=8.1852, MAE=8.1346, R²=-79095996728597970681856.0000
5_x: RMSE=0.0053, MAE=0.0053, R²=-2158266806365644914688.0000
6_x: RMSE=2.4339, MAE=2.4217, R²=-1790418088538549031796736.0000
7_x: RMSE=10.7446, MAE=10.6788, R²=-136294964563168890716160.0000
8_x: RMSE=8.1852, MAE=8.1346, R²=-79095996728597970681856.0000
9_x: RMSE=1.3843, MAE=1.3766, R²=-9266918889057197402095616.0000
10: RMSE=0.0000, MAE=0.0000, R²=-23599.4241
11: RMSE=1.0295, MAE=1.0243, R²=-80078145328689469980672.0000
12: RMSE=95.5700, MAE=94.9685, R²=-43132363820247566275051520.0000
13: RMSE=371.7310, MAE=369.2989, R²=0.0000
14: RMSE=0.0968, MAE=0.0964, R²=-707701523606589276160.0000
15: RMSE=1.3675, MAE=1.3601, R²=-141298112287845430329344.0000
